Kerbol
Star














Physical Characteristics
Equatorial radius,261600000.0
Equatorial circumference,1643681276.0
Surface area,8.5997404e+17
Mass,1.7565459e+28
Standard gravitational parameter,1.1723328e+18
Density,234.23818
Surface gravity,17.1
Escape velocity,94672.01
Sidereal rotation period,432000.0
Solar day,None
Sidereal rotational velocity,3804.8
Synchronous orbit,1508045290.0
Sphere of influence,inf
Atmospheric Characteristics
Atmosphere present,True
Atmospheric pressure (kPa),16.0
Atmospheric pressure (atm),0.157908
Atmospheric height,600000.0
minimum pressure (atm),1.6e-07
Temperature Min (Celsius),3741.8
Temperature Min (Kelvin),4014.95
Temperature Max (Celsius),9348.05
Temperature Max (Kelvin),9621.2
Oxygen present,False
Scientific multiplier
Surface,None
Splashed,None
Lower atmosphere,1.0
Upper atmosphere,1.0
Near space,11.0
Outer space,2.0
Recovery,None
Moho
Planet of,Kerbol
Orbital Characteristics
Semi-major axis,5263138304.0
Apoapsis,6315765981.0
Periapsis,4210510628.0
Orbital eccentricity,0.2
Orbital inclination,7.0
Argument of periapsis,15.0
Longitude of the ascending node,70.0
Mean anomaly,3.14
Sidereal orbital period,2215754.2
Synodic orbital period,2918346.4
Min Orbital velocity,12186.0
Max Orbital velocity,18279.0
Longest time eclipsed,None
Physical Characteristics
Equatorial radius,250000.0
Equatorial circumference,1570796.0
Surface area,785398160000.0
Mass,2.5263314e+21
Standard gravitational parameter,168609380000.0
Density,38599.5
Surface gravity,2.7
Escape velocity,1161.41
Sidereal rotation period,1210000.0
Solar day,2665723.4
Sidereal rotational velocity,1.2982
Synchronous orbit,None
Sphere of influence,9646663.0
Atmospheric Characteristics
Atmosphere present,False
Atmospheric pressure (kPa),None
Atmospheric pressure (atm),None
Atmospheric height,None
minimum pressure (atm),None
Temperature Min (Celsius),None
Temperature Min (Kelvin),None
Temperature Max (Celsius),None
Temperature Max (Kelvin),None
Oxygen present,None
Scientific multiplier
Surface,10.0
Splashed,None
Lower atmosphere,None
Upper atmosphere,None
Near space,8.0
Outer space,7.0
Recovery,7.0
Eve
Planet of,Kerbol
Orbital Characteristics
Semi-major axis,9832684544.0
Apoapsis,9931011387.0
Periapsis,9734357701.0
Orbital eccentricity,0.01
Orbital inclination,2.1
Argument of periapsis,0.0
Longitude of the ascending node,15.0
Mean anomaly,3.14
Sidereal orbital period,5657995.1
Synodic orbital period,14687035.5
Min Orbital velocity,10811.0
Max Orbital velocity,11029.0
Longest time eclipsed,None
Physical Characteristics
Equatorial radius,700000.0
Equatorial circumference,4398230.0
Surface area,6157521600000.0
Mass,1.2243980000000002e+23
Standard gravitational parameter,8171730200000.0
Density,85219.677
Surface gravity,16.7
Escape velocity,4831.96
Sidereal rotation period,80500.0
Solar day,81661.9
Sidereal rotational velocity,54.636
Synchronous orbit,10328470.0
Sphere of influence,85109365.0
Atmospheric Characteristics
Atmosphere present,True
Atmospheric pressure (kPa),506.625
Atmospheric pressure (atm),5.0
Atmospheric height,90000.0
minimum pressure (atm),4.9999999999999996e-06
Temperature Min (Celsius),-113.13
Temperature Min (Kelvin),160.02
Temperature Max (Celsius),146.85
Temperature Max (Kelvin),420.0
Oxygen present,False
Scientific multiplier
Surface,8.0
Splashed,8.0
Lower atmosphere,6.0
Upper atmosphere,6.0
Near space,7.0
Outer space,5.0
Recovery,5.0
Gilly
Moon of,Eve
Orbital Characteristics
Semi-major axis,31500000.0
Apoapsis,48825000.0
Periapsis,14175000.0
Orbital eccentricity,0.55
Orbital inclination,12.0
Argument of periapsis,10.0
Longitude of the ascending node,80.0
Mean anomaly,0.9
Sidereal orbital period,388587.4
Synodic orbital period,417243.4
Min Orbital velocity,274.0
Max Orbital velocity,945.0
Longest time eclipsed,5102.0
Physical Characteristics
Equatorial radius,13000.0
Equatorial circumference,81681.0
Surface area,2123716599.9999998
Mass,1.2420363000000002e+17
Standard gravitational parameter,8289449.8
Density,13496.328
Surface gravity,0.049
Escape velocity,35.71
Sidereal rotation period,28255.0
Solar day,None
Sidereal rotational velocity,2.8909
Synchronous orbit,42140.0
Sphere of influence,126123.27
Atmospheric Characteristics
Atmosphere present,False
Atmospheric pressure (kPa),None
Atmospheric pressure (atm),None
Atmospheric height,None
minimum pressure (atm),None
Temperature Min (Celsius),None
Temperature Min (Kelvin),None
Temperature Max (Celsius),None
Temperature Max (Kelvin),None
Oxygen present,None
Scientific multiplier
Surface,9.0
Splashed,None
Lower atmosphere,None
Upper atmosphere,None
Near space,8.0
Outer space,6.0
Recovery,6.0
Kerbin
Planet of,Kerbol
Orbital Characteristics
Semi-major axis,13599840256.0
Apoapsis,13599840256.0
Periapsis,13599840256.0
Orbital eccentricity,0.0
